"Time (s)","Pressure (hPa)"
1.581626182E1,1.006440918E3
1.585474449E1,1.006440918E3
1.589319664E1,1.006440918E3
1.593164879E1,1.006440918E3
1.597010093E1,1.006446777E3
1.600858360E1,1.006446777E3
1.604709678E1,1.006446777E3
1.608545738E1,1.006446777E3
1.612418419E1,1.006455688E3
1.616236168E1,1.006455688E3
1.620078331E1,1.006455688E3
1.623926597E1,1.006455688E3
1.627771812E1,1.006455688E3
1.631617027E1,1.006456421E3
1.635465294E1,1.006456421E3
1.639304405E1,1.006456421E3
1.643152672E1,1.006456421E3
1.646997886E1,1.006455017E3
1.650843101E1,1.006455017E3
1.654712730E1,1.006455017E3
1.658536583E1,1.006455017E3
1.662378746E1,1.006448120E3
1.666223961E1,1.006448120E3
1.670075279E1,1.006448120E3
1.673914390E1,1.006448120E3
1.677759605E1,1.006448120E3
1.681604820E1,1.006456055E3
1.685453087E1,1.006456055E3
1.689298301E1,1.006456055E3
1.693140464E1,1.006456055E3
1.697000938E1,1.006453247E3
1.700830894E1,1.006453247E3
1.704673057E1,1.006453247E3
1.708521324E1,1.006453247E3
1.712363487E1,1.006457031E3
1.716214805E1,1.006457031E3
1.720056968E1,1.006457031E3
1.723899132E1,1.006457031E3
1.727744346E1,1.006457031E3
1.731589561E1,1.006459412E3
1.735437828E1,1.006459412E3
1.739289146E1,1.006459412E3
1.743128258E1,1.006459412E3
1.747000938E1,1.006460083E3
1.750818687E1,1.006460083E3
1.754663902E1,1.006460083E3
1.758506065E1,1.006460083E3
1.762354332E1,1.006461792E3
1.766199546E1,1.006461792E3
1.770044761E1,1.006461792E3
1.773893028E1,1.006461792E3
1.777732139E1,1.006461792E3
1.781580406E1,1.006463562E3
1.785425621E1,1.006463562E3
1.789289146E1,1.006463562E3
1.793116050E1,1.006463562E3
1.796961265E1,1.006470825E3
1.800806480E1,1.006470825E3
1.804651695E1,1.006470825E3
1.808493858E1,1.006470825E3
1.812342125E1,1.006469727E3
1.816184288E1,1.006469727E3
1.820029503E1,1.006469727E3
1.823877769E1,1.006469727E3
1.827722984E1,1.006471436E3
1.831583458E1,1.006471436E3
1.835416466E1,1.006471436E3
1.839258629E1,1.006471436E3
1.843100792E1,1.006471436E3
1.846946006E1,1.006471802E3
1.850791221E1,1.006471802E3
1.854639488E1,1.006471802E3
1.858487754E1,1.006471802E3
1.862329918E1,1.006474182E3
1.866175132E1,1.006474182E3
1.870020347E1,1.006474182E3
1.873874717E1,1.006474182E3
1.877710777E1,1.006485229E3
1.881580406E1,1.006485229E3
1.885401207E1,1.006485229E3
1.889249473E1,1.006485229E3
1.893091636E1,1.006485229E3
1.896933800E1,1.006483521E3
1.900782066E1,1.006483521E3
1.904627281E1,1.006483521E3
1.908472496E1,1.006483521E3
1.912317711E1,1.006499695E3
1.916165977E1,1.006499695E3
1.920005088E1,1.006499695E3
1.923874717E1,1.006499695E3
1.927698570E1,1.006493835E3
1.931543785E1,1.006493835E3
1.935389000E1,1.006493835E3
1.939234214E1,1.006493835E3
1.943079429E1,1.006493835E3
1.946927696E1,1.006497986E3
1.950769859E1,1.006497986E3
1.954615074E1,1.006497986E3
1.958460289E1,1.006497986E3
1.962302452E1,1.006505249E3
1.966165977E1,1.006505249E3
1.969995933E1,1.006505249E3
1.973841148E1,1.006505249E3
1.977686363E1,1.006510437E3
1.981528526E1,1.006510437E3
1.985376793E1,1.006510437E3
1.989218956E1,1.006510437E3
1.993070274E1,1.006510437E3
1.996909385E1,1.006518005E3
2.000757652E1,1.006518005E3
2.004605919E1,1.006518005E3
2.008457237E1,1.006518005E3
2.012293296E1,1.006528320E3
2.016165977E1,1.006528320E3
2.019983726E1,1.006528320E3
2.023828941E1,1.006528320E3
2.027674156E1,1.006535278E3
2.031522422E1,1.006535278E3
2.035361534E1,1.006535278E3
2.039209800E1,1.006535278E3
2.043055015E1,1.006535278E3
2.046900230E1,1.006540405E3
2.050745445E1,1.006540405E3
2.054590660E1,1.006540405E3
2.058457237E1,1.006540405E3
2.062281090E1,1.006553162E3
2.066123253E1,1.006553162E3
2.069971519E1,1.006553162E3
2.073816734E1,1.006553162E3
2.077661949E1,1.006567017E3
2.081507164E1,1.006567017E3
2.085352379E1,1.006567017E3
2.089200645E1,1.006567017E3
2.093042808E1,1.006567017E3
2.096888023E1,1.006569763E3
2.100748497E1,1.006569763E3
2.104578453E1,1.006569763E3
2.108423668E1,1.006569763E3
2.112268882E1,1.006582520E3
2.116117149E1,1.006582520E3
2.119959312E1,1.006582520E3
2.123804527E1,1.006582520E3
2.127649742E1,1.006584229E3
2.131494957E1,1.006584229E3
2.135340172E1,1.006584229E3
2.139185386E1,1.006584229E3
2.143033653E1,1.006584229E3
2.146878868E1,1.006594604E3
2.150745445E1,1.006594604E3
2.154566246E1,1.006594604E3
2.158411461E1,1.006594604E3
2.162256675E1,1.006599792E3
2.166101890E1,1.006599792E3
2.169947105E1,1.006599792E3
2.173792320E1,1.006599792E3
2.177634483E1,1.006599792E3
2.181479698E1,1.006599792E3
2.185327964E1,1.006599792E3
2.189170128E1,1.006599792E3
2.193033653E1,1.006599792E3
2.196863609E1,1.006612244E3
2.200708824E1,1.006612244E3
2.204557090E1,1.006612244E3
2.208399254E1,1.006612244E3
2.212241417E1,1.006632935E3
2.216089683E1,1.006632935E3
2.219931846E1,1.006632935E3
2.223780113E1,1.006632935E3
2.227625328E1,1.006645020E3
2.231473594E1,1.006645020E3
2.235324913E1,1.006645020E3
2.239160972E1,1.006645020E3
2.243033653E1,1.006645020E3
2.246848350E1,1.006649902E3
2.250696617E1,1.006649902E3
2.254541832E1,1.006649902E3
2.258383995E1,1.006649902E3
2.262235313E1,1.006655029E3
2.266077476E1,1.006655029E3
2.269922691E1,1.006655029E3
2.273767906E1,1.006655029E3
2.277613121E1,1.006664062E3
2.281458336E1,1.006664062E3
2.285321861E1,1.006664062E3
2.289151817E1,1.006664062E3
2.292993980E1,1.006664062E3
2.296839195E1,1.006665771E3
2.300684410E1,1.006665771E3
2.304529625E1,1.006665771E3
2.308377891E1,1.006665771E3
2.312220054E1,1.006661987E3
