"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.476501460E-1,-7.800598145E-1,5.240325928E-1,9.877578735E0
2.499694820E-1,-7.680969238E-1,5.168457031E-1,9.896713257E0
2.523193360E-1,-7.680969238E-1,5.120697021E-1,9.927825928E0
2.547302240E-1,-7.776641846E-1,5.216369629E-1,9.930221558E0
2.569885250E-1,-7.728881836E-1,5.144500732E-1,9.923034668E0
2.593078610E-1,-7.848510742E-1,5.001068115E-1,9.915863037E0
2.616577140E-1,-7.848510742E-1,4.881286621E-1,9.884750366E0
2.640075680E-1,-7.776641846E-1,4.929199219E-1,9.887145996E0
2.663269040E-1,-7.657012939E-1,5.001068115E-1,9.884750366E0
2.687072750E-1,-7.465667725E-1,5.048828125E-1,9.867996216E0
2.710266110E-1,-7.346038818E-1,5.359954834E-1,9.856033325E0
2.733764640E-1,-7.154541016E-1,5.407714844E-1,9.846466064E0
2.756958000E-1,-7.106628418E-1,5.431671143E-1,9.853637695E0
2.780456540E-1,-6.771697998E-1,5.575256348E-1,9.834503174E0
2.803649900E-1,-6.628112793E-1,5.575256348E-1,9.808181763E0
2.827148430E-1,-6.484527588E-1,5.575256348E-1,9.805786133E0
2.850341790E-1,-6.125640869E-1,5.670928955E-1,9.805786133E0
2.873840330E-1,-5.910339355E-1,5.742797852E-1,9.765106201E0
2.897338860E-1,-5.647125244E-1,5.599212646E-1,9.753143311E0
2.920532220E-1,-5.479583740E-1,5.479583740E-1,9.734008789E0
2.944030760E-1,-5.599212646E-1,5.335998535E-1,9.667007446E0
2.967224120E-1,-5.766754150E-1,5.527496338E-1,9.588043213E0
2.990722650E-1,-5.694885254E-1,5.599212646E-1,9.528213501E0
3.013916010E-1,-5.862426758E-1,5.742797852E-1,9.497116089E0
3.037414550E-1,-6.197357178E-1,5.886383057E-1,9.461227417E0
3.060607910E-1,-6.340942383E-1,5.814514160E-1,9.477966309E0
3.084106440E-1,-6.293182373E-1,5.814514160E-1,9.504287720E0
3.107299800E-1,-6.173553467E-1,5.838470459E-1,9.533004761E0
3.130798340E-1,-6.197357178E-1,6.077728271E-1,9.535400391E0
3.154296870E-1,-6.125640869E-1,6.125640869E-1,9.568893433E0
3.177490230E-1,-6.293182373E-1,6.053771973E-1,9.607177734E0
3.200683590E-1,-6.221313477E-1,6.149597168E-1,9.638290405E0
3.224182120E-1,-6.245269775E-1,6.149597168E-1,9.688537598E0
3.247680660E-1,-6.077728271E-1,6.269226074E-1,9.710067749E0
3.270874020E-1,-6.149597168E-1,6.077728271E-1,9.702896118E0
3.294372550E-1,-6.197357178E-1,5.958099365E-1,9.729217529E0
3.317565910E-1,-6.245269775E-1,5.623168945E-1,9.734008789E0
3.341064450E-1,-6.340942383E-1,5.455627441E-1,9.710067749E0
3.364257810E-1,-6.484527588E-1,5.288085938E-1,9.671783447E0
3.387756340E-1,-6.747741699E-1,5.240325928E-1,9.604797363E0
3.411254880E-1,-7.082824707E-1,5.216369629E-1,9.566513062E0
3.434448240E-1,-7.226257324E-1,5.192413330E-1,9.537796021E0
3.457946770E-1,-7.441711426E-1,5.192413330E-1,9.509078979E0
3.481140130E-1,-7.369842529E-1,5.168457031E-1,9.501892090E0
3.504638670E-1,-7.322082520E-1,5.001068115E-1,9.509078979E0
3.527832030E-1,-7.178497314E-1,5.335998535E-1,9.573684692E0
3.551330560E-1,-7.130584717E-1,5.383911133E-1,9.631118774E0
3.574523920E-1,-6.963043213E-1,5.359954834E-1,9.698104858E0
3.598022460E-1,-6.604156494E-1,5.575256348E-1,9.743576050E0
3.621215820E-1,-6.197357178E-1,5.670928955E-1,9.767501831E0
3.644714350E-1,-5.982055664E-1,5.766754150E-1,9.810577393E0
3.668212890E-1,-5.766754150E-1,5.814514160E-1,9.853637695E0
3.691406250E-1,-5.527496338E-1,5.814514160E-1,9.891921997E0
3.714904780E-1,-5.072784424E-1,5.838470459E-1,9.879959106E0
3.738098140E-1,-5.048828125E-1,5.982055664E-1,9.865615845E0
3.761596680E-1,-4.881286621E-1,5.910339355E-1,9.820144653E0
3.784790030E-1,-4.977111816E-1,5.982055664E-1,9.772293091E0
3.808288570E-1,-4.977111816E-1,5.790557861E-1,9.750747681E0
3.831481930E-1,-4.881286621E-1,5.910339355E-1,9.702896118E0
3.854980460E-1,-4.953155518E-1,5.982055664E-1,9.616760254E0
3.878479000E-1,-5.288085938E-1,5.934143066E-1,9.528213501E0
3.901672360E-1,-5.264282227E-1,5.910339355E-1,9.444473267E0
3.925170890E-1,-5.383911133E-1,5.790557861E-1,9.370300293E0
3.948364250E-1,-5.455627441E-1,5.934143066E-1,9.296112061E0
3.971862790E-1,-5.503540039E-1,6.077728271E-1,9.236297607E0
3.995056150E-1,-5.742797852E-1,5.958099365E-1,9.195617676E0
4.018554680E-1,-5.814514160E-1,6.101684570E-1,9.159729004E0
4.041748040E-1,-5.862426758E-1,6.029968262E-1,9.166900635E0
4.065246580E-1,-5.647125244E-1,6.173553467E-1,9.166900635E0
4.088439940E-1,-5.503540039E-1,6.101684570E-1,9.217147827E0
4.111938470E-1,-4.977111816E-1,6.364898682E-1,9.245864868E0
4.135437010E-1,-4.737854004E-1,6.269226074E-1,9.288940430E0
4.158630370E-1,-4.761657715E-1,6.269226074E-1,9.315261841E0
4.182128900E-1,-4.713897705E-1,6.316986084E-1,9.315261841E0
4.205322260E-1,-4.881286621E-1,6.197357178E-1,9.332015991E0
4.228820800E-1,-5.168457031E-1,5.934143066E-1,9.358322144E0
4.252014160E-1,-5.383911133E-1,5.838470459E-1,9.365509033E0
4.275512690E-1,-5.407714844E-1,5.934143066E-1,9.387039185E0
4.298706050E-1,-5.575256348E-1,5.886383057E-1,9.408584595E0
4.322204590E-1,-5.647125244E-1,5.814514160E-1,9.408584595E0
4.345703120E-1,-5.766754150E-1,5.694885254E-1,9.384643555E0
4.368896480E-1,-5.814514160E-1,5.694885254E-1,9.365509033E0
4.392395020E-1,-5.934143066E-1,5.766754150E-1,9.363113403E0
4.415588370E-1,-6.197357178E-1,5.910339355E-1,9.389434814E0
4.439086910E-1,-6.293182373E-1,5.790557861E-1,9.458831787E0
4.462280270E-1,-6.029968262E-1,5.694885254E-1,9.499511719E0
4.485778800E-1,-5.934143066E-1,5.623168945E-1,9.552154541E0
4.508972160E-1,-5.503540039E-1,5.527496338E-1,9.611968994E0
4.532470700E-1,-5.551300049E-1,5.383911133E-1,9.678970337E0
4.555664060E-1,-5.575256348E-1,5.383911133E-1,9.707687378E0
4.579162590E-1,-5.359954834E-1,5.144500732E-1,9.734008789E0
4.602661130E-1,-5.240325928E-1,4.905242920E-1,9.741180420E0
4.625854490E-1,-5.120697021E-1,4.737854004E-1,9.743576050E0
4.649353020E-1,-5.120697021E-1,4.665985107E-1,9.719650269E0
4.672546380E-1,-5.120697021E-1,4.761657715E-1,9.700500488E0
4.696044920E-1,-5.120697021E-1,4.737854004E-1,9.674179077E0
4.719238280E-1,-5.288085938E-1,4.713897705E-1,9.628723145E0
4.742736810E-1,-5.383911133E-1,4.713897705E-1,9.600006104E0
4.765930170E-1,-5.479583740E-1,4.809570312E-1,9.568893433E0
4.789428710E-1,-5.575256348E-1,4.905242920E-1,9.542572021E0
4.812927240E-1,-5.647125244E-1,4.977111816E-1,9.509078979E0
4.836120600E-1,-6.006011963E-1,5.312042236E-1,9.470794678E0
4.859619140E-1,-5.934143066E-1,5.431671143E-1,9.420547485E0
4.882812500E-1,-5.886383057E-1,5.647125244E-1,9.384643555E0
4.906311030E-1,-5.910339355E-1,5.647125244E-1,9.339187622E0
4.929504390E-1,-5.527496338E-1,5.694885254E-1,9.303298950E0
4.953002930E-1,-5.527496338E-1,5.886383057E-1,9.276977539E0
4.976196280E-1,-5.551300049E-1,5.982055664E-1,9.265014648E0
4.999694820E-1,-5.144500732E-1,5.910339355E-1,9.233901978E0
5.023193360E-1,-5.120697021E-1,5.910339355E-1,9.217147827E0
5.046386710E-1,-4.689941406E-1,5.934143066E-1,9.233901978E0
5.069885250E-1,-4.474639893E-1,5.958099365E-1,9.250656128E0
5.093078610E-1,-4.355010986E-1,5.910339355E-1,9.267395020E0
5.116577140E-1,-3.972015381E-1,5.766754150E-1,9.274581909E0
5.139770500E-1,-3.469543457E-1,5.742797852E-1,9.317657471E0
5.163269040E-1,-3.445739746E-1,5.455627441E-1,9.339187622E0
5.186462400E-1,-3.325958252E-1,5.240325928E-1,9.353546143E0
5.209960930E-1,-3.373870850E-1,5.096740723E-1,9.379867554E0
5.233154290E-1,-3.373870850E-1,5.072784424E-1,9.391830444E0
5.256652830E-1,-3.325958252E-1,5.048828125E-1,9.418151855E0
5.279846190E-1,-3.302154541E-1,4.785614014E-1,9.446868896E0
5.303344720E-1,-3.469543457E-1,5.024871826E-1,9.468399048E0
5.326843260E-1,-3.565368652E-1,5.096740723E-1,9.501892090E0
5.350036620E-1,-3.804626465E-1,5.120697021E-1,9.528213501E0
5.373535150E-1,-3.924255371E-1,5.288085938E-1,9.564117432E0
5.396728510E-1,-4.067840576E-1,5.216369629E-1,9.602401733E0
5.420227050E-1,-4.378814697E-1,5.240325928E-1,9.633499146E0
5.443420410E-1,-4.450683594E-1,5.192413330E-1,9.655044556E0
5.466918940E-1,-4.331054688E-1,5.096740723E-1,9.674179077E0
5.490112300E-1,-4.450683594E-1,5.168457031E-1,9.678970337E0
5.513610840E-1,-4.618072510E-1,5.144500732E-1,9.729217529E0
5.536804200E-1,-4.450683594E-1,4.929199219E-1,9.734008789E0
5.560607910E-1,-4.211425781E-1,4.833526611E-1,9.736389160E0
