"Time (s)","Pressure (hPa)"
1.268921723E1,1.007050781E3
1.272763886E1,1.007049072E3
1.276609101E1,1.007049072E3
1.280454316E1,1.007049072E3
1.284299530E1,1.007049072E3
1.288144745E1,1.007049072E3
1.291989960E1,1.007047058E3
1.295838227E1,1.007047058E3
1.299680390E1,1.007047058E3
1.303525605E1,1.007047058E3
1.307370820E1,1.007050171E3
1.311277070E1,1.007050171E3
1.315061249E1,1.007050171E3
1.318906464E1,1.007050171E3
1.322751679E1,1.007058472E3
1.326599946E1,1.007058472E3
1.330442109E1,1.007058472E3
1.334287324E1,1.007058472E3
1.338132538E1,1.007058472E3
1.341977753E1,1.007058472E3
1.345822968E1,1.007058472E3
1.349668183E1,1.007058472E3
1.353516450E1,1.007058472E3
1.357358613E1,1.007057800E3
1.361203827E1,1.007057800E3
1.365049042E1,1.007057800E3
1.368894257E1,1.007057800E3
1.372739472E1,1.007058838E3
1.376587739E1,1.007058838E3
1.380429902E1,1.007058838E3
1.384278168E1,1.007058838E3
1.388120331E1,1.007058838E3
1.391965546E1,1.007065735E3
1.395810761E1,1.007065735E3
1.399655976E1,1.007065735E3
1.403501191E1,1.007065735E3
1.407346406E1,1.007070251E3
1.411194672E1,1.007070251E3
1.415036835E1,1.007070251E3
1.418882050E1,1.007070251E3
1.422727265E1,1.007076477E3
1.426572480E1,1.007076477E3
1.430417695E1,1.007076477E3
1.434262909E1,1.007076477E3
1.438108124E1,1.007082642E3
1.441957048E1,1.007082642E3
1.445811418E1,1.007082642E3
1.449644426E1,1.007082642E3
1.453489640E1,1.007082642E3
1.457334855E1,1.007094055E3
1.461180070E1,1.007094055E3
1.465025285E1,1.007094055E3
1.468873552E1,1.007094055E3
1.472715715E1,1.007105469E3
1.476560929E1,1.007105469E3
1.480406144E1,1.007105469E3
1.484251359E1,1.007105469E3
1.488096574E1,1.007104370E3
1.491938737E1,1.007104370E3
1.495790055E1,1.007104370E3
1.499632218E1,1.007104370E3
1.503477433E1,1.007104370E3
1.507322648E1,1.007106506E3
1.511207536E1,1.007106506E3
1.515010026E1,1.007106506E3
1.518858293E1,1.007106506E3
1.522703508E1,1.007114746E3
1.526551774E1,1.007114746E3
1.530393937E1,1.007114746E3
1.534239152E1,1.007114746E3
1.538084367E1,1.007123718E3
1.541929582E1,1.007123718E3
1.545774797E1,1.007123718E3
1.549620012E1,1.007123718E3
1.553468278E1,1.007123718E3
1.557310441E1,1.007131287E3
1.561155656E1,1.007131287E3
1.565000871E1,1.007131287E3
1.568846086E1,1.007131287E3
1.572691300E1,1.007138550E3
1.576536515E1,1.007138550E3
1.580378678E1,1.007138550E3
1.584229997E1,1.007138550E3
1.588072160E1,1.007135132E3
1.591917375E1,1.007135132E3
1.595762590E1,1.007135132E3
1.599607804E1,1.007135132E3
1.603453019E1,1.007135132E3
1.607298234E1,1.007135803E3
1.611146501E1,1.007135803E3
1.614988664E1,1.007135803E3
1.618833879E1,1.007135803E3
1.622679094E1,1.007143066E3
1.626524308E1,1.007143066E3
1.630369523E1,1.007143066E3
1.634214738E1,1.007143066E3
1.638059953E1,1.007147156E3
1.641908220E1,1.007147156E3
1.645753434E1,1.007147156E3
1.649595597E1,1.007147156E3
1.653440812E1,1.007147156E3
1.657286027E1,1.007155762E3
1.661131242E1,1.007155762E3
1.664976457E1,1.007155762E3
1.668824723E1,1.007155762E3
1.672666886E1,1.007166504E3
1.676512101E1,1.007166504E3
1.680357316E1,1.007166504E3
1.684202531E1,1.007166504E3
1.688047746E1,1.007175110E3
1.691892961E1,1.007175110E3
1.695738176E1,1.007175110E3
1.699586442E1,1.007175110E3
1.703428605E1,1.007175110E3
1.707273820E1,1.007180908E3
1.711140397E1,1.007180908E3
1.714961198E1,1.007180908E3
1.718809465E1,1.007180908E3
1.722654679E1,1.007195435E3
1.726502946E1,1.007195435E3
1.730345109E1,1.007195435E3
1.734190324E1,1.007195435E3
1.738035539E1,1.007200562E3
1.741880754E1,1.007200562E3
1.745725968E1,1.007200562E3
1.749739030E1,1.007200562E3
1.753419450E1,1.007200562E3
1.757261613E1,1.007207825E3
1.761106828E1,1.007207825E3
1.764952043E1,1.007207825E3
1.768797258E1,1.007207825E3
1.772642472E1,1.007211243E3
1.776530412E1,1.007211243E3
1.780332902E1,1.007211243E3
1.784181169E1,1.007211243E3
1.788023332E1,1.007200928E3
1.791868547E1,1.007200928E3
1.795713762E1,1.007200928E3
1.799558976E1,1.007200928E3
1.803404191E1,1.007200928E3
1.807249406E1,1.007211243E3
1.811097673E1,1.007211243E3
1.814939836E1,1.007211243E3
1.818785050E1,1.007211243E3
1.822630265E1,1.007219849E3
1.826475480E1,1.007219849E3
1.830351213E1,1.007219849E3
1.834165910E1,1.007219849E3
1.838011125E1,1.007216431E3
1.841920426E1,1.007216431E3
1.845701554E1,1.007216431E3
1.849546769E1,1.007216431E3
1.853391984E1,1.007216431E3
1.857237199E1,1.007217102E3
1.861082414E1,1.007217102E3
1.864927629E1,1.007217102E3
1.868775895E1,1.007217102E3
1.872618058E1,1.007215759E3
1.876463273E1,1.007215759E3
1.880308488E1,1.007215759E3
1.884153703E1,1.007215759E3
1.887998918E1,1.007214050E3
1.891844133E1,1.007214050E3
1.895689347E1,1.007214050E3
1.899537614E1,1.007214050E3
1.903379777E1,1.007214050E3
1.907224992E1,1.007211304E3
1.911070207E1,1.007211304E3
1.914915422E1,1.007211304E3
1.918760636E1,1.007211304E3
1.922605851E1,1.007218140E3
1.926454118E1,1.007218140E3
